,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Neville Southall,wls WAL,GK,34,42,42,3780,42.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ef5450a
John Ebbrell,eng ENG,MF,23,39,39,3500,38.9,4,2,6,4,0,0,7,0,0.10,0.05,0.15,0.10,0.15,Matches,175bbf7c
Matt Jackson,eng ENG,DF,21,38,37,3318,36.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,4b8b0f54
Tony Cottee,eng ENG,FW,28,39,36,3240,36.0,16,3,19,14,2,3,1,0,0.44,0.08,0.53,0.39,0.47,Matches,111e8515
Gary Ablett,eng ENG,DF,27,32,32,2880,32.0,1,3,4,1,0,0,3,0,0.03,0.09,0.12,0.03,0.12,Matches,ab708080
Peter Beagrie,eng ENG,FW,27,29,29,2446,27.2,4,2,6,,,,1,0,0.15,0.07,0.22,,,Matches,edcefdc4
Barry Horne,wls WAL,MF,31,32,28,2561,28.5,1,1,2,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,Matches,2c1d83f7
Ian Snodin,eng ENG,DFMF,29,29,28,2489,27.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6d6a9e2b
Dave Watson,eng ENG,DF,31,28,27,2334,25.9,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches,f41fba43
Graham Stuart,eng ENG,FWMF,22,30,26,2328,25.9,3,4,7,2,1,1,0,0,0.12,0.15,0.27,0.08,0.23,Matches,159c714f
Mark Ward,eng ENG,MF,30,27,26,2255,25.1,1,3,4,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,Matches,2080e6bb
Andy Hinchcliffe,eng ENG,DF,24,26,25,2261,25.1,0,2,2,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,4bb95ffe
Paul Rideout,eng ENG,FW,28,24,21,1748,19.4,6,0,6,6,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,3ee2a1e0
Paul Holmes,eng ENG,DF,25,15,15,1310,14.6,0,2,2,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,6d4ace8b
Brett Angell,eng ENG,FW,24,16,13,1153,12.8,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches,64c0cb21
Preki,us USA,FWMF,30,23,9,1058,11.8,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches,3d6d73e3
Anders Limpar,se SWE,MF,27,9,9,803,8.9,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,897b32c0
David Unsworth,eng ENG,DF,19,8,7,619,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,05fcbb55
Stuart Barlow,eng ENG,FW,25,22,6,846,9.4,3,0,3,3,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,abea9969
Neil Moore,eng ENG,DF,20,4,4,315,3.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf66df85
Robert Warzycha,pl POL,MF,29,7,3,311,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,637d9c56
Gary Rowett,eng ENG,DF,19,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92c33b52
Squad Total,,,27.6,42,467,3780,42.0,43,23,66,40,3,4,33,0,1.02,0.55,1.57,0.95,1.50,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
