,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Robbie Earle,jm JAM,MF,28,42,42,3780,42.0,9,5,14,9,0,0,0,0,0.21,0.12,0.33,0.21,0.33,Matches,3a757429
Dean Holdsworth,eng ENG,FW,24,42,42,3711,41.2,17,6,23,16,1,2,3,0,0.41,0.15,0.56,0.39,0.53,Matches,fdb64aeb
Hans Segers,nl NED,GK,31,41,41,3647,40.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3c3c4afb
John Scales,eng ENG,DF,27,37,37,3330,37.0,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,1c67bd76
Warren Barton,eng ENG,DF,24,39,37,3203,35.6,2,3,5,2,0,0,4,0,0.06,0.08,0.14,0.06,0.14,Matches,7e732709
John Fashanu,eng ENG,FW,30,36,35,2979,33.1,11,4,15,11,0,0,5,0,0.33,0.12,0.45,0.33,0.45,Matches,e9430452
Vinnie Jones,wls WAL,MF,28,33,33,2939,32.7,2,2,4,2,0,0,8,0,0.06,0.06,0.12,0.06,0.12,Matches,eec5fbba
Scott Fitzgerald,ie IRL,DF,23,28,27,2475,27.5,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,f5416c14
Peter Fear,eng ENG,MF,19,23,23,1956,21.7,1,3,4,1,0,0,2,0,0.05,0.14,0.18,0.05,0.18,Matches,584ebbeb
Gary Elkins,eng ENG,DF,27,18,18,1606,17.8,1,4,5,1,0,0,1,0,0.06,0.22,0.28,0.06,0.28,Matches,10a1ca0f
Dean Blackwell,eng ENG,DF,23,18,16,1398,15.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9ed3d8ed
Lawrie Sanchez,nir NIR,MF,33,15,15,1327,14.7,2,1,3,2,0,0,0,0,0.14,0.07,0.20,0.14,0.20,Matches,2fd8fd97
Neal Ardley,eng ENG,MF,20,16,14,1329,14.8,1,0,1,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,Matches,124a61d8
Alan Kimble,eng ENG,DF,26,14,14,1215,13.5,0,2,2,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,30dfbe94
Roger Joseph,eng ENG,DF,27,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,824d75c1
Brian McAllister,sct SCO,DF,22,13,13,1095,12.2,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,e43b1ade
Marcus Gayle,jm JAM,FWMF,22,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b80303a7
Andy Clarke,eng ENG,FW,26,23,9,995,11.1,2,1,3,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches,c8479463
Gary Blissett,eng ENG,FW,29,18,6,793,8.8,3,2,5,3,0,0,1,0,0.34,0.23,0.57,0.34,0.57,Matches,defda41a
Steve Talboys,eng ENG,MF,26,7,5,475,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,db8d0ce4
Greg Berry,eng ENG,MF,22,4,4,311,3.5,1,0,1,1,0,,0,0,0.29,0.00,0.29,0.29,0.29,Matches,ac7a1b3b
Gerald Dobbs,eng ENG,MF,22,10,3,471,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6001e18f
Stewart Castledine,eng ENG,MF,20,3,3,258,2.9,1,0,1,1,0,,0,0,0.35,0.00,0.35,0.35,0.35,Matches,e334a7ab
Neil Sullivan,sct SCO,GK,23,2,1,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ea16583
Chris Perry,eng ENG,DF,20,2,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f43aa1c
Squad Total,,,26.6,42,440,3780,42.0,49,28,77,48,1,2,37,0,1.17,0.67,1.83,1.14,1.81,,-9999
Opponent Total,,,26.8,42,,3780,42.0,,,,,,,,,,,,,,,-9999
