,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Denis Irwin,ie IRL,DF,27,42,42,3767,41.9,2,6,8,2,0,0,3,0,0.05,0.14,0.19,0.05,0.19,Matches,9d080c30
Gary Pallister,eng ENG,DF,28,41,41,3690,41.0,1,0,1,1,0,0,2,0,0.02,0.00,0.02,0.02,0.02,Matches,f99beca9
Steve Bruce,eng ENG,DF,32,41,41,3656,40.6,3,2,5,3,0,0,2,0,0.07,0.05,0.12,0.07,0.12,Matches,535d3678
Peter Schmeichel,dk DEN,GK,29,40,40,3538,39.3,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,f1fe7ffe
Paul Ince,eng ENG,MF,25,39,39,3471,38.6,8,10,18,8,0,0,6,0,0.21,0.26,0.47,0.21,0.47,Matches,3ce58c27
Paul Parker,eng ENG,DF,29,40,39,3466,38.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,90464ad8
Mark Hughes,wls WAL,FW,29,36,36,3170,35.2,12,6,18,11,1,1,4,0,0.34,0.17,0.51,0.31,0.48,Matches,b01e9032
Roy Keane,ie IRL,MF,21,37,34,3090,34.3,5,6,11,5,0,0,6,0,0.15,0.17,0.32,0.15,0.32,Matches,8f218498
Eric Cantona,fr FRA,FW,27,34,34,2987,33.2,18,12,30,16,2,2,2,2,0.54,0.36,0.90,0.48,0.84,Matches,808b48cd
Ryan Giggs,wls WAL,FWMF,19,38,32,2897,32.2,13,7,20,13,0,0,0,0,0.40,0.22,0.62,0.40,0.62,Matches,561de8d0
Andrei Kanchelskis,ru RUS,DFMF,24,31,28,2448,27.2,6,6,12,6,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches,82fa1e78
Lee Sharpe,eng ENG,MF,22,30,26,2299,25.5,9,6,15,9,0,0,1,0,0.35,0.23,0.59,0.35,0.59,Matches,2143398b
Brian McClair,sct SCO,FWMF,29,26,12,1287,14.3,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,85fb3ca5
Bryan Robson,eng ENG,MF,36,15,10,906,10.1,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,40d8240b
Gary Walsh,eng ENG,GK,25,3,2,242,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82dc3961
Dion Dublin,eng ENG,DFFW,24,5,1,159,1.8,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,a0886d18
Darren Ferguson,sct SCO,MF,21,3,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a05c4859
Mike Phelan,eng ENG,MF,30,2,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3daa357
Lee Martin,eng ENG,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78d2b98a
Gary Neville,eng ENG,DF,18,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b013e33
Colin McKee,sct SCO,FW,19,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,05bbaf64
Ben Thornley,eng ENG,MF,18,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b9091b7
Nicky Butt,eng ENG,DFMF,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,616b3f9a
Squad Total,,,27.1,42,468,3780,42.0,79,55,134,76,3,3,31,2,1.88,1.31,3.19,1.81,3.12,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
