,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
David Linighan,eng ENG,DF,27,42,42,3705,41.2,1,1,2,1,0,0,4,0,0.02,0.02,0.05,0.02,0.05,Matches,db86533d
Jason Dozzell,eng ENG,MF,24,41,41,3650,40.6,7,9,16,7,0,0,3,0,0.17,0.22,0.39,0.17,0.39,Matches,a2b23551
Gavin Johnson,eng ENG,DFMF,21,40,39,3487,38.7,5,3,8,5,0,0,2,0,0.13,0.08,0.21,0.13,0.21,Matches,0a548b42
Mick Stockwell,eng ENG,MF,27,39,38,3412,37.9,4,5,9,4,0,0,1,0,0.11,0.13,0.24,0.11,0.24,Matches,c3572260
Chris Kiwomya,eng ENG,FW,22,38,38,3355,37.3,10,2,12,10,0,0,3,0,0.27,0.05,0.32,0.27,0.32,Matches,9abf596d
Geraint Williams,wls WAL,MF,30,37,37,3330,37.0,0,3,3,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,aba3c370
John Wark,sct SCO,MF,34,37,36,3212,35.7,6,2,8,4,2,3,2,0,0.17,0.06,0.22,0.11,0.17,Matches,b035baf1
Neil Thompson,eng ENG,DF,28,31,31,2770,30.8,3,4,7,3,0,0,1,0,0.10,0.13,0.23,0.10,0.23,Matches,7f572947
Clive Baker,,GK,33,31,30,2705,30.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,458fd40a
Phil Whelan,eng ENG,DF,20,32,28,2508,27.9,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,e2887e98
Steve Whitton,eng ENG,FW,31,24,20,1812,20.1,3,2,5,1,2,2,1,0,0.15,0.10,0.25,0.05,0.15,Matches,7d3c26c2
Paul Goddard,eng ENG,FW,32,25,19,1750,19.4,3,1,4,3,0,0,0,0,0.15,0.05,0.21,0.15,0.21,Matches,8802a175
Boncho Genchev,bg BUL,FWMF,28,21,19,1542,17.1,3,1,4,3,0,0,1,0,0.18,0.06,0.23,0.18,0.23,Matches,55905401
Craig Forrest,ca CAN,GK,24,11,11,902,10.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,b253de9c
Eddie Youds,eng ENG,DF,22,16,10,899,10.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,869d6ad3
Simon Milton,eng ENG,MF,28,12,7,785,8.7,2,0,2,2,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,272a4d87
Frank Yallop,ca CAN,DF,28,6,5,452,5.0,2,0,2,2,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,3d12308f
Steve Palmer,eng ENG,DF,24,7,4,358,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,1f27a6dd
Vlado Bozinovski,au AUS,MF,28,9,3,211,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,57146a6e
Glenn Pennyfather,eng ENG,DFMF,29,4,2,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,467e4cf5
Andy Petterson,au AUS,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6684625c
David Gregory,eng ENG,MF,22,3,1,78,0.9,1,0,1,1,0,0,0,0,1.15,0.00,1.15,1.15,1.15,Matches,ca561fc4
Squad Total,,,27.5,42,462,3780,42.0,50,29,79,46,4,5,33,1,1.19,0.69,1.88,1.10,1.79,,-9999
Opponent Total,,,26.2,42,,3780,42.0,,,,,,,,,,,,,,,-9999
