,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Earl Barrett,eng ENG,DF,25,42,42,3780,42.0,1,2,3,1,0,0,3,0,0.02,0.05,0.07,0.02,0.07,Matches,225696d1
Paul McGrath,ie IRL,DF,32,42,42,3771,41.9,4,2,6,4,0,0,1,0,0.10,0.05,0.14,0.10,0.14,Matches,2f129582
Steve Staunton,ie IRL,DFMF,23,42,42,3768,41.9,2,8,10,2,0,0,2,0,0.05,0.19,0.24,0.05,0.24,Matches,cb617782
Kevin Richardson,eng ENG,MF,29,42,42,3743,41.6,2,1,3,2,0,0,4,0,0.05,0.02,0.07,0.05,0.07,Matches,cffbb5c8
Ray Houghton,ie IRL,MF,30,39,39,3499,38.9,3,7,10,3,0,0,1,0,0.08,0.18,0.26,0.08,0.26,Matches,61888b3f
Shaun Teale,eng ENG,DF,28,39,39,3490,38.8,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches,96db05d1
Garry Parker,eng ENG,MF,26,37,37,3211,35.7,9,1,10,8,1,1,0,0,0.25,0.03,0.28,0.22,0.25,Matches,54ae7f03
Dean Saunders,wls WAL,FW,28,35,35,3150,35.0,13,2,15,12,1,2,2,0,0.37,0.06,0.43,0.34,0.40,Matches,c1435456
Dalian Atkinson,eng ENG,FW,24,28,28,2413,26.8,11,4,15,11,0,0,1,0,0.41,0.15,0.56,0.41,0.56,Matches,40094615
Nigel Spink,eng ENG,GK,33,25,25,2250,25.0,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,cbdaf1c1
Dwight Yorke,tt TRI,FWMF,20,27,22,1918,21.3,6,3,9,6,0,0,0,0,0.28,0.14,0.42,0.28,0.42,Matches,2d0a99d3
Mark Bosnich,au AUS,GK,20,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b46bcb7
Steve Froggatt,eng ENG,MF,19,17,16,1307,14.5,1,5,6,1,0,0,1,0,0.07,0.34,0.41,0.07,0.41,Matches,35003e24
Bryan Small,eng ENG,DF,20,14,10,1187,13.2,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,a4614157
Tony Daley,eng ENG,MF,24,13,8,712,7.9,2,0,2,2,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,0f36be43
Cyrille Regis,eng ENG,FW,34,13,7,712,7.9,1,3,4,1,0,0,0,0,0.13,0.38,0.51,0.13,0.51,Matches,a11b6086
Neil Cox,eng ENG,DF,20,15,6,642,7.1,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,dee2b65d
Matthias Breitkreutz,de GER,MF,21,3,2,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dacb5c1e
Ugo Ehiogu,eng ENG,DF,19,4,1,132,1.5,0,1,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,Matches,bd8d3cd5
Stefan Beinlich,de GER,MF,20,7,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f1c2030c
David Farrell,eng ENG,MF,20,2,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4019381
Frank McAvennie,sct SCO,FW,32,3,0,87,1.0,0,1,1,0,0,,0,0,0.00,1.03,1.03,0.00,1.03,Matches,c02f2ce8
Mark Blake,eng ENG,MF,21,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b400f6b
Martin Carruthers,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5bce5cf6
Squad Total,,,27.0,42,462,3780,42.0,56,41,97,54,2,3,23,0,1.33,0.98,2.31,1.29,2.26,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
