,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Andy Townsend,ie IRL,MF,29,41,41,3628,40.3,4,6,10,4,0,0,4,0,0.10,0.15,0.25,0.10,0.25,Matches,976c90a4
Mal Donaghy,nir NIR,DF,34,40,39,3445,38.3,2,1,3,2,0,0,0,0,0.05,0.03,0.08,0.05,0.08,Matches,16397886
Gareth Hall,wls WAL,DF,23,37,36,3251,36.1,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,283329e8
Eddie Newton,eng ENG,MF,20,34,32,2860,31.8,5,1,6,5,0,0,1,0,0.16,0.03,0.19,0.16,0.19,Matches,c5e71e43
Frank Sinclair,jm JAM,DF,20,32,32,2806,31.2,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,02942593
Graham Stuart,eng ENG,FWMF,21,39,31,2868,31.9,9,7,16,9,0,0,3,0,0.28,0.22,0.50,0.28,0.50,Matches,159c714f
Robert Fleck,sct SCO,FW,26,31,28,2485,27.6,2,5,7,2,0,0,1,0,0.07,0.18,0.25,0.07,0.25,Matches,ce632461
Dennis Wise,eng ENG,MF,25,27,27,2430,27.0,3,5,8,2,1,1,9,0,0.11,0.19,0.30,0.07,0.26,Matches,e718c23d
Mick Harford,eng ENG,FW,33,28,27,2397,26.6,9,2,11,9,0,0,5,0,0.34,0.08,0.41,0.34,0.41,Matches,a8ef11f7
David Lee,eng ENG,DF,22,25,23,2144,23.8,2,0,2,2,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,724e2a7d
Kevin Hitchcock,,GK,29,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee2a3876
Steve Clarke,sct SCO,DF,28,20,18,1644,18.3,0,2,2,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,eb327112
Dave Beasant,eng ENG,GK,33,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2e448746
John Spencer,sct SCO,FW,21,23,13,1339,14.9,7,4,11,7,0,0,1,0,0.47,0.27,0.74,0.47,0.74,Matches,81922efe
Erland Johnsen,no NOR,DFMF,25,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,14735b09
Graeme Le Saux,eng ENG,DF,23,14,10,897,10.0,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,0bd42c09
Tony Cascarino,ie IRL,FW,29,9,8,744,8.3,2,3,5,2,0,0,0,1,0.24,0.36,0.60,0.24,0.60,Matches,a0d2673d
Darren Barnard,wls WAL,DFMF,20,13,8,734,8.2,1,2,3,1,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches,85edbb30
Paul Elliott,eng ENG,DF,28,7,7,630,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,070590d2
Vinnie Jones,wls WAL,MF,27,7,7,630,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,eec5fbba
Nigel Spackman,eng ENG,MF,31,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6f521e0
Dmitri Kharine,ru RUS,GK,23,5,5,405,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,48a7d00f
Damian Matthew,eng ENG,MF,21,4,3,264,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1420705
Andy Myers,eng ENG,DF,18,3,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5b54539
Anthony Barness,eng ENG,DF,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f2e31a8
Neil Shipperley,eng ENG,FW,17,3,2,170,1.9,1,1,2,1,0,0,0,0,0.53,0.53,1.06,0.53,1.06,Matches,82dabdf3
David Hopkin,sct SCO,MF,21,4,2,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f411e76b
Craig Burley,sct SCO,MF,20,3,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,718a4c38
Joe Allon,eng ENG,FW,25,3,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54228a48
Ian Pearce,eng ENG,DF,18,1,0,79,0.9,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3537c18f
Steve Livingstone,eng ENG,FW,22,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9d1188a1
Gerry Peyton,ie IRL,GK,36,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e6a16bf4
Squad Total,,,26.3,42,452,3780,42.0,50,40,90,49,1,1,45,2,1.19,0.95,2.14,1.17,2.12,,-9999
Opponent Total,,,26.2,42,,3780,42.0,,,,,,,,,,,,,,,-9999
