,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mark Schwarzer,au AUS,GK,26,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da409c6f
Paul Ince,eng ENG,MF,31,32,32,2810,31.2,3,1,4,3,0,0,8,0,0.10,0.03,0.13,0.10,0.13,Matches,3ce58c27
Steve Vickers,eng ENG,DF,31,32,30,2647,29.4,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,4b0dbeef
Brian Deane,eng ENG,FW,31,29,29,2589,28.8,9,4,13,8,1,1,5,0,0.31,0.14,0.45,0.28,0.42,Matches,909a4bb4
Christian Ziege,de GER,DFMF,27,29,29,2435,27.1,6,6,12,5,1,1,11,1,0.22,0.22,0.44,0.18,0.41,Matches,c2984c2d
Hámilton Ricard,co COL,FW,25,34,28,2361,26.2,12,3,15,9,3,4,7,0,0.46,0.11,0.57,0.34,0.46,Matches,e08d8909
Gianluca Festa,it ITA,DF,30,29,27,2465,27.4,2,1,3,2,0,0,8,1,0.07,0.04,0.11,0.07,0.11,Matches,1cada5ff
Curtis Fleming,ie IRL,DF,30,27,27,2343,26.0,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,2b507014
Colin Cooper,eng ENG,DF,32,26,26,2262,25.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,42f93b8f
Juninho Paulista,br BRA,MF,26,28,24,2092,23.2,4,2,6,4,0,2,1,0,0.17,0.09,0.26,0.17,0.26,Matches,093373a5
Gary Pallister,eng ENG,DF,34,21,21,1739,19.3,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,f99beca9
Robbie Mustoe,eng ENG,MF,30,28,18,1881,20.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2c02df03
Andy Campbell,eng ENG,FW,20,25,16,1510,16.8,4,2,6,4,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches,8dde3e19
Mark Summerbell,eng ENG,MF,22,19,16,1365,15.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f92c694b
Keith O'Neill,ie IRL,MF,23,16,14,1262,14.0,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,f3761381
Phil Stamp,eng ENG,MF,23,16,13,1186,13.2,0,1,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,f50ed0f5
Paul Gascoigne,eng ENG,MF,32,8,7,515,5.7,1,1,2,0,1,1,1,1,0.17,0.17,0.35,0.00,0.17,Matches,56c33229
Neil Maddison,eng ENG,DFMF,29,13,6,654,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,10691ae9
Robbie Stockdale,sct SCO,DF,19,11,6,597,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,7d0a8842
Alun Armstrong,eng ENG,FW,24,12,3,341,3.8,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,36cbc674
Dean Gordon,eng ENG,DFMF,26,4,3,312,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6405b4da
Andy Townsend,ie IRL,MF,36,5,3,299,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,976c90a4
Jason Gavin,ie IRL,DF,19,6,2,343,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,692450a7
Marlon Beresford,eng ENG,GK,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d68e864b
Carlos Marinelli,ar ARG,MF,17,2,0,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a81b990
Anthony Ormerod,eng ENG,MF,20,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75f8e5f6
Micky Cummins,ie IRL,MF,21,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34740908
Sean Kilgannon,sct SCO,MF,18,1,0,4,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9b1d5d6
Squad Total,,,28.5,38,418,3420,38.0,44,26,70,38,6,9,82,3,1.16,0.68,1.84,1.00,1.68,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
