,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Jim Magilton,nir NIR,DFMF,27,37,31,2887,32.1,4,1,5,2,2,3,3,0,0.12,0.03,0.16,0.06,0.09,Matches,27240fa9
Egil Østenstad,no NOR,FW,24,30,29,2567,28.5,9,4,13,9,0,0,3,0,0.32,0.14,0.46,0.32,0.46,Matches,bc242ac0
Richard Dryden,eng ENG,DF,27,29,28,2422,26.9,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,72ca8427
Claus Lundekvam,no NOR,DF,23,29,28,2376,26.4,0,3,3,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,22de8419
Eyal Berkovic,il ISR,MF,24,28,26,2156,24.0,4,7,11,4,0,0,4,0,0.17,0.29,0.46,0.17,0.46,Matches,10e485ae
Matt Le Tissier,eng ENG,FWMF,27,31,25,2163,24.0,13,0,13,9,4,4,5,0,0.54,0.00,0.54,0.37,0.37,Matches,d5e78451
Alan Neilson,wls WAL,DF,23,29,24,2247,25.0,0,3,3,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,382b521d
Ulrich van Gobbel,nl NED,DF,25,25,24,2102,23.4,1,1,2,1,0,0,12,0,0.04,0.04,0.09,0.04,0.09,Matches,859fce4f
Simon Charlton,eng ENG,DF,24,27,24,1994,22.2,0,2,2,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,d52b42c9
Matt Oakley,eng ENG,MF,18,28,23,1990,22.1,3,0,3,3,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches,79974582
Jason Dodd,eng ENG,DF,25,23,23,1915,21.3,1,1,2,1,0,0,2,1,0.05,0.05,0.09,0.05,0.09,Matches,df15c7a1
Robbie Slater,au AUS,MF,31,30,22,2070,23.0,2,3,5,2,0,0,5,0,0.09,0.13,0.22,0.09,0.22,Matches,61b90583
Maik Taylor,nir NIR,GK,24,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,755ea891
Francis Benali,eng ENG,DF,27,18,14,1317,14.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,91950851
Neil Maddison,eng ENG,DFMF,26,18,14,1104,12.3,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,10691ae9
Dave Beasant,eng ENG,GK,37,14,13,1244,13.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e448746
Neil Shipperley,eng ENG,FW,21,10,9,758,8.4,1,2,3,1,0,0,0,0,0.12,0.24,0.36,0.12,0.36,Matches,82dabdf3
Mickey Evans,ie IRL,FW,23,12,8,892,9.9,4,0,4,4,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,12eb14b3
Ken Monkou,nl NED,DF,31,13,8,797,8.9,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,25daebfd
Gordon Watson,eng ENG,FW,25,15,7,642,7.1,2,1,3,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,Matches,53c30561
Neil Heaney,eng ENG,MF,24,8,4,461,5.1,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,cffb4fa2
Chris Woods,eng ENG,GK,36,4,4,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6148af60
Matthew Robinson,eng ENG,DF,21,7,3,379,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4375ab8f
Neil Moss,eng ENG,GK,21,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0a63c6a4
Graham Potter,eng ENG,DF,21,8,2,262,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,824c7343
Barry Venison,eng ENG,DF,31,2,2,171,1.9,0,0,0,0,0,,2,2,0.00,0.00,0.00,0.00,0.00,Matches,aa15b4d9
Steve Basham,eng ENG,FW,18,6,1,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd89f288
David Hughes,eng ENG,MF,23,6,1,163,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5245936b
Ali Dia,sn SEN,FW,30,1,0,53,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,892d2b5f
Russell Watkinson,,MF,18,2,0,43,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b6d2c86
Christer Warren,eng ENG,MF,21,1,0,14,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9045ac69
Squad Total,,,25.9,38,416,3420,38.0,47,37,84,41,6,7,67,6,1.24,0.97,2.21,1.08,2.05,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
