,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Colin Cooper,eng ENG,DF,29,36,36,3173,35.3,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches,42f93b8f
Mark Crossley,wls WAL,GK,27,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,51a772b8
Alf-Inge Haaland,no NOR,DFMF,23,35,33,2895,32.2,6,0,6,6,0,0,4,0,0.19,0.00,0.19,0.19,0.19,Matches,3ae21039
Stuart Pearce,eng ENG,DF,34,33,33,2850,31.7,5,0,5,3,2,3,8,0,0.16,0.00,0.16,0.09,0.09,Matches,39243ce6
Dean Saunders,wls WAL,FW,32,34,33,2837,31.5,3,3,6,3,0,0,0,0,0.10,0.10,0.19,0.10,0.19,Matches,c1435456
Steve Chettle,eng ENG,DF,27,32,31,2835,31.5,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,9a59ff12
Des Lyttle,eng ENG,DF,24,32,30,2690,29.9,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,8cc40692
Ian Woan,eng ENG,MF,28,32,29,2538,28.2,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches,c70172f3
David Phillips,wls WAL,DFMF,33,27,24,2229,24.8,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,28f79f34
Scot Gemmill,sct SCO,MF,25,24,18,1781,19.8,0,2,2,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10,Matches,27e0c651
Chris Allen,eng ENG,MF,23,24,16,1480,16.4,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,88a68b02
Kevin Campbell,eng ENG,FW,26,17,16,1403,15.6,6,4,10,6,0,0,3,0,0.38,0.26,0.64,0.38,0.64,Matches,b209e651
Chris Bart-Williams,eng ENG,DFMF,22,16,16,1357,15.1,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,250d1973
Nikola Jerkan,hr CRO,DF,31,14,14,1185,13.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,7bdc14bf
Nigel Clough,eng ENG,FWMF,30,13,10,908,10.1,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,3cd439de
Bryan Roy,nl NED,FWMF,26,20,8,855,9.5,3,0,3,3,0,0,2,0,0.32,0.00,0.32,0.32,0.32,Matches,f30a9664
Pierre van Hooijdonk,nl NED,FW,26,8,8,720,8.0,1,2,3,1,0,0,4,0,0.12,0.25,0.37,0.12,0.37,Matches,ba534926
Steve Blatherwick,eng ENG,DF,22,7,7,533,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a7648dc
Jason Lee,eng ENG,FW,25,13,5,631,7.0,1,2,3,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches,e9c268b6
Steve Stone,eng ENG,MF,24,5,5,352,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4592c48e
Brian O'Neil,sct SCO,MF,23,5,4,371,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,779598dc
Alan Fettis,nir NIR,GK,25,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9079df2
Vance Warner,eng ENG,DF,21,3,2,247,2.7,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0a18ed58
Ian Moore,eng ENG,FWMF,19,5,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c89ccea
Tommy Wright,nir NIR,GK,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5e01fbe
Andrea Silenzi,it ITA,FW,30,2,1,77,0.9,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,750ceb3e
Steve Guinan,eng ENG,FW,20,2,0,52,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e42ddbe5
Paul McGregor,eng ENG,FW,21,5,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac63a2ed
Bobby Howe,eng ENG,MF,22,1,0,8,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b68aff5
Squad Total,,,27.9,38,415,3420,38.0,31,22,53,29,2,3,66,1,0.82,0.58,1.39,0.76,1.34,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
