,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Nigel Martyn,eng ENG,GK,29,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8977904e
Gary Kelly,ie IRL,DF,22,36,34,3062,34.0,2,0,2,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,1832e33c
Ian Rush,wls WAL,FW,34,36,34,3047,33.9,3,4,7,3,0,0,6,0,0.09,0.12,0.21,0.09,0.21,Matches,2a942638
Lee Bowyer,eng ENG,MF,19,32,32,2785,30.9,4,5,9,4,0,0,7,0,0.13,0.16,0.29,0.13,0.29,Matches,f4fd57ba
Lucas Radebe,za RSA,DF,27,32,28,2485,27.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,84d2a0f0
Brian Deane,eng ENG,FW,28,28,27,2421,26.9,5,4,9,5,0,1,3,0,0.19,0.15,0.33,0.19,0.33,Matches,909a4bb4
Carlton Palmer,eng ENG,MF,30,28,26,2375,26.4,0,0,0,0,0,0,12,1,0.00,0.00,0.00,0.00,0.00,Matches,45fdede4
Lee Sharpe,eng ENG,MF,25,26,26,2232,24.8,5,1,6,5,0,0,1,0,0.20,0.04,0.24,0.20,0.24,Matches,2143398b
David Wetherall,eng ENG,DF,25,29,25,2237,24.9,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,ceb3f12d
Gunnar Halle,no NOR,DF,30,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5c1170da
Rod Wallace,eng ENG,FW,26,22,17,1432,15.9,3,2,5,3,0,0,5,0,0.19,0.13,0.31,0.19,0.31,Matches,89421101
Tony Dorigo,eng ENG,DF,30,18,15,1386,15.4,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,451c459e
Mark Ford,eng ENG,MF,20,16,15,1251,13.9,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,94ed2b9c
Robert Molenaar,nl NED,DF,27,12,12,1080,12.0,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,5748f64c
Mark Jackson,eng ENG,DF,18,17,11,1122,12.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,24bee4e0
Paul Beesley,eng ENG,DF,31,12,11,972,10.8,0,1,1,0,0,,5,0,0.00,0.09,0.09,0.00,0.09,Matches,526b869a
Ian Harte,ie IRL,DF,18,14,10,1040,11.6,2,0,2,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,fd4fa092
Richard Jobson,eng ENG,DF,33,10,10,900,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dfdb7d16
Andy Couzens,eng ENG,MF,21,10,7,546,6.1,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,75c74499
Tony Yeboah,gh GHA,FW,30,7,6,515,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,19256324
Mark Hateley,eng ENG,FW,34,6,5,478,5.3,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,0f8dd17f
Derek Lilley,sct SCO,FW,22,6,4,373,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b292ddd8
Pierre Laurent,fr FRA,FW,25,4,2,164,1.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,908330e0
Andy Gray,sct SCO,FW,18,7,1,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54a44102
Mark Tinkler,eng ENG,MF,21,3,1,99,1.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6649d48
Mark Beeney,eng ENG,GK,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,958f12e8
Paul Shepherd,eng ENG,,18,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1a477ec3
Jason Blunt,eng ENG,MF,18,1,0,24,0.3,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4105b8dd
Harry Kewell,au AUS,FWMF,17,1,0,16,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51ef13b9
Wesley Boyle,nir NIR,MF,17,1,0,1,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a08210ef
Squad Total,,,26.9,38,403,3420,38.0,27,22,49,27,0,1,79,1,0.71,0.58,1.29,0.71,1.29,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
