,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Peter Schmeichel,dk DEN,GK,32,36,36,3240,36.0,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,f1fe7ffe
Eric Cantona,fr FRA,FW,30,36,36,3228,35.9,11,12,23,7,4,6,5,0,0.31,0.33,0.64,0.20,0.53,Matches,808b48cd
David Beckham,eng ENG,MF,21,36,33,2986,33.2,8,8,16,8,0,0,6,0,0.24,0.24,0.48,0.24,0.48,Matches,53539318
Gary Neville,eng ENG,DF,21,31,30,2718,30.2,1,3,4,1,0,0,4,0,0.03,0.10,0.13,0.03,0.13,Matches,1b013e33
Denis Irwin,ie IRL,DF,30,31,29,2589,28.8,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,9d080c30
David May,eng ENG,DF,26,29,28,2477,27.5,3,0,3,3,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches,1c719a79
Gary Pallister,eng ENG,DF,31,27,27,2282,25.4,3,0,3,3,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,f99beca9
Ronny Johnsen,no NOR,DF,27,31,26,2384,26.5,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,02f25c21
Ole Gunnar Solskjær,no NOR,FW,23,33,25,2219,24.7,18,4,22,18,0,0,2,0,0.73,0.16,0.89,0.73,0.89,Matches,65cb97b8
Ryan Giggs,wls WAL,FWMF,22,26,25,2140,23.8,3,6,9,3,0,0,2,0,0.13,0.25,0.38,0.13,0.38,Matches,561de8d0
Nicky Butt,eng ENG,DFMF,21,26,24,1940,21.6,5,2,7,5,0,0,5,0,0.23,0.09,0.32,0.23,0.32,Matches,616b3f9a
Roy Keane,ie IRL,MF,24,21,21,1739,19.3,2,2,4,2,0,0,5,1,0.10,0.10,0.21,0.10,0.21,Matches,8f218498
Paul Scholes,eng ENG,MF,21,24,16,1409,15.7,3,0,3,3,0,0,6,0,0.19,0.00,0.19,0.19,0.19,Matches,24a3a72c
Phil Neville,eng ENG,DFMF,19,18,15,1368,15.2,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,3db5e0ec
Karel Poborský,cz CZE,MF,24,22,15,1282,14.2,4,3,7,4,0,0,1,0,0.28,0.21,0.49,0.28,0.49,Matches,bcff20dc
Jordi Cruyff,nl NED,FWMF,22,16,11,1008,11.2,3,0,3,3,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Matches,7ebf561b
Andy Cole,eng ENG,FW,24,20,10,1041,11.6,6,5,11,6,0,0,1,0,0.52,0.43,0.95,0.52,0.95,Matches,b6638a2c
Brian McClair,sct SCO,FWMF,32,19,4,795,8.8,0,2,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,85fb3ca5
Michael Clegg,eng ENG,DF,19,4,3,307,3.4,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb5c286a
Raimond van der Gouw,nl NED,GK,33,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d2e1195
Ben Thornley,eng ENG,MF,21,2,1,98,1.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b9091b7
John O'Kane,eng ENG,DF,21,1,1,88,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea877e82
Chris Casper,eng ENG,DF,21,2,0,41,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6831a546
Squad Total,,,25.8,38,413,3420,38.0,70,47,117,66,4,6,57,1,1.84,1.24,3.08,1.74,2.97,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
