,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mark Schwarzer,au AUS,GK,27,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da409c6f
Christian Karembeu,fr FRA,DFMF,29,33,31,2580,28.7,4,4,8,4,0,0,3,1,0.14,0.14,0.28,0.14,0.28,Matches,0ddfd24a
Paul Ince,eng ENG,MF,32,30,30,2685,29.8,2,1,3,2,0,0,8,0,0.07,0.03,0.10,0.07,0.10,Matches,3ce58c27
Steve Vickers,eng ENG,DF,32,30,29,2512,27.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4b0dbeef
Curtis Fleming,ie IRL,DF,31,30,29,2504,27.8,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,2b507014
Colin Cooper,eng ENG,DF,33,27,26,2199,24.4,2,0,2,2,0,0,8,0,0.08,0.00,0.08,0.08,0.08,Matches,42f93b8f
Alen Bokšić,hr CRO,FW,30,28,26,2183,24.3,12,3,15,10,2,2,3,0,0.49,0.12,0.62,0.41,0.54,Matches,480438da
Paul Okon,au AUS,MF,28,24,23,1973,21.9,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,61d7a6b1
Hámilton Ricard,co COL,FW,26,27,22,1767,19.6,4,3,7,3,1,1,5,0,0.20,0.15,0.36,0.15,0.31,Matches,e08d8909
Gianluca Festa,it ITA,DF,31,25,21,1897,21.1,2,0,2,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,1cada5ff
Ugo Ehiogu,eng ENG,DF,27,21,21,1804,20.0,3,1,4,3,0,0,3,1,0.15,0.05,0.20,0.15,0.20,Matches,bd8d3cd5
Keith O'Neill,ie IRL,MF,24,15,14,1246,13.8,0,1,1,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches,f3761381
Brian Deane,eng ENG,FW,32,25,13,1440,16.0,2,1,3,2,0,0,2,0,0.12,0.06,0.19,0.12,0.19,Matches,909a4bb4
Noel Whelan,eng ENG,FW,25,27,13,1353,15.0,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,901c3bdf
Robbie Mustoe,eng ENG,MF,31,25,13,1344,14.9,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,2c02df03
Dean Gordon,eng ENG,DFMF,27,20,12,1273,14.1,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,6405b4da
Phil Stamp,eng ENG,MF,24,19,11,996,11.1,1,1,2,1,0,0,6,1,0.09,0.09,0.18,0.09,0.18,Matches,f50ed0f5
Jason Gavin,ie IRL,DF,20,14,10,1035,11.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,692450a7
Dean Windass,eng ENG,FWMF,31,8,8,685,7.6,2,0,2,2,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,5d318f2d
Gary Pallister,eng ENG,DF,35,8,8,678,7.5,0,2,2,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,f99beca9
Joseph-Désiré Job,cm CMR,FWMF,22,12,8,675,7.5,3,1,4,3,0,0,0,0,0.40,0.13,0.53,0.40,0.53,Matches,8208d253
Mark Summerbell,eng ENG,MF,23,7,5,483,5.4,1,0,1,1,0,0,4,0,0.19,0.00,0.19,0.19,0.19,Matches,f92c694b
Andy Campbell,eng ENG,FW,21,7,5,400,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,8dde3e19
Mark Crossley,wls WAL,GK,31,5,4,300,3.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,51a772b8
Gary Walsh,eng ENG,GK,32,3,3,262,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82dc3961
Carlos Marinelli,ar ARG,MF,18,12,2,295,3.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,3a81b990
Marlon Beresford,eng ENG,GK,30,1,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d68e864b
Mark Hudson,eng ENG,MF,19,3,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f47eaa63
Squad Total,,,29.3,38,438,3420,38.0,43,25,68,40,3,3,78,6,1.13,0.66,1.79,1.05,1.71,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
