,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Neil Sullivan,sct SCO,GK,28,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2ea16583
Kenny Cunningham,ie IRL,DF,27,35,35,3150,35.0,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,984a2038
Robbie Earle,jm JAM,MF,33,35,35,3125,34.7,5,2,7,5,0,0,2,0,0.14,0.06,0.20,0.14,0.20,Matches,3a757429
Chris Perry,eng ENG,DF,25,34,34,3029,33.7,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,2f43aa1c
Marcus Gayle,jm JAM,FWMF,27,35,31,2761,30.7,10,5,15,10,0,0,1,0,0.33,0.16,0.49,0.33,0.49,Matches,b80303a7
Ben Thatcher,wls WAL,DF,22,31,31,2714,30.2,0,1,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matches,dc5460f9
Jason Euell,jm JAM,FWMF,21,33,31,2675,29.7,10,1,11,10,0,0,4,0,0.34,0.03,0.37,0.34,0.37,Matches,d97fe8bd
Michael Hughes,nir NIR,MF,26,30,28,2393,26.6,2,6,8,1,1,1,7,0,0.08,0.23,0.30,0.04,0.26,Matches,65085487
Dean Blackwell,eng ENG,DF,28,28,27,2388,26.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ed3d8ed
Andy Roberts,eng ENG,MF,24,28,23,2101,23.3,2,1,3,2,0,0,9,0,0.09,0.04,0.13,0.09,0.13,Matches,7666f4b8
Alan Kimble,eng ENG,DF,31,26,22,2015,22.4,0,3,3,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,30dfbe94
Neal Ardley,eng ENG,MF,25,23,16,1503,16.7,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,124a61d8
Carl Leaburn,eng ENG,FW,29,22,14,1250,13.9,0,2,2,0,0,0,1,1,0.00,0.14,0.14,0.00,0.14,Matches,2ec16bbc
John Hartson,wls WAL,FW,23,14,12,1001,11.1,2,1,3,,,,2,0,0.18,0.09,0.27,,,Matches,10d28fb8
Efan Ekoku,ng NGA,FW,31,22,11,1093,12.1,6,0,6,6,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches,d0d589ec
Ceri Hughes,wls WAL,MF,27,13,8,808,9.0,1,1,2,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches,3467a528
Mark Kennedy,ie IRL,DFMF,22,17,7,670,7.4,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,9f91768b
Carl Cort,gy GUY,FW,20,16,6,652,7.2,3,0,3,3,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches,c07f2109
Gareth Ainsworth,eng ENG,MF,25,8,5,465,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,8ddfb8b9
Duncan Jupp,sct SCO,DF,23,6,3,279,3.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,303a2b38
Stewart Castledine,eng ENG,MF,25,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e334a7ab
Peter Fear,eng ENG,MF,24,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,584ebbeb
Jon Goodman,ie IRL,FW,27,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17a50e4a
Squad Total,,,26.9,38,418,3420,38.0,40,33,73,39,1,1,59,1,1.05,0.87,1.92,1.03,1.89,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
