,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Callum Davidson,sct SCO,DF,22,34,34,3024,33.6,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,Matches,6bcf5daf
Stéphane Henchoz,ch SUI,DF,23,34,34,2885,32.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,17476497
Jason Wilcox,eng ENG,FWMF,27,30,28,2376,26.4,3,4,7,3,0,0,6,1,0.11,0.15,0.27,0.11,0.27,Matches,6b9fa9ad
Darren Peacock,eng ENG,DF,30,30,27,2421,26.9,1,2,3,1,0,0,7,0,0.04,0.07,0.11,0.04,0.11,Matches,957c8f17
John Filan,au AUS,GK,28,26,26,2295,25.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a4321738
Jeff Kenna,ie IRL,DF,27,23,22,2004,22.3,0,1,1,0,0,1,1,0,0.00,0.04,0.04,0.00,0.04,Matches,cf4038bb
Tim Sherwood,eng ENG,MF,29,19,19,1601,17.8,3,0,3,3,0,0,6,2,0.17,0.00,0.17,0.17,0.17,Matches,885f0b51
Damien Duff,ie IRL,FWMF,19,28,18,1585,17.6,1,2,3,1,0,0,0,0,0.06,0.11,0.17,0.06,0.17,Matches,057a6936
Ashley Ward,eng ENG,FW,27,17,17,1530,17.0,5,1,6,5,0,0,3,0,0.29,0.06,0.35,0.29,0.35,Matches,3df77824
Chris Sutton,eng ENG,DFFW,25,17,17,1459,16.2,3,1,4,1,2,2,9,1,0.19,0.06,0.25,0.06,0.12,Matches,83c38e36
Damien Johnson,nir NIR,MF,19,21,14,1371,15.2,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,c1c0a75f
Christian Dailly,sct SCO,DF,24,17,14,1244,13.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0210c453
Billy McKinlay,sct SCO,MF,29,16,14,1212,13.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a5e06511
Keith Gillespie,nir NIR,FWMF,23,16,13,1224,13.6,1,2,3,1,0,0,4,1,0.07,0.15,0.22,0.07,0.22,Matches,012f440e
Jason McAteer,ie IRL,MF,27,13,13,1170,13.0,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,Matches,8a09067c
Kevin Gallacher,sct SCO,FWMF,31,16,13,1045,11.6,5,1,6,5,0,1,0,0,0.43,0.09,0.52,0.43,0.52,Matches,dc257810
Tim Flowers,eng ENG,GK,31,11,10,945,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df3b6e40
David Dunn,eng ENG,MF,18,14,10,912,10.1,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,7ecdf483
Gary Croft,eng ENG,DF,24,12,10,855,9.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0a7190bb
Matt Jansen,eng ENG,FW,20,11,10,674,7.5,3,1,4,3,0,0,0,0,0.40,0.13,0.53,0.40,0.53,Matches,fac73006
Kevin Davies,eng ENG,FW,21,21,9,1056,11.7,1,2,3,1,0,0,5,0,0.09,0.17,0.26,0.09,0.26,Matches,2f726a89
Marlon Broomes,eng ENG,DF,20,14,9,992,11.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,7040cf47
Nathan Blake,wls WAL,FW,26,11,9,867,9.6,3,0,3,3,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,6c447486
Garry Flitcroft,eng ENG,MF,25,8,8,720,8.0,2,3,5,2,0,0,3,0,0.25,0.37,0.62,0.25,0.62,Matches,dc6356ad
Lee Carsley,ie IRL,MF,24,8,7,636,7.1,0,0,0,,,,1,0,0.00,0.00,0.00,,,Matches,8393a60b
Dario Marcolin,it ITA,MF,26,10,5,566,6.3,1,0,1,1,0,0,4,0,0.16,0.00,0.16,0.16,0.16,Matches,c20a2842
Sébastien Pérez,fr FRA,DFMF,24,5,4,339,3.8,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,934f32bf
Martin Dahlin,se SWE,FW,30,5,2,233,2.6,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,caff9577
Alan Fettis,nir NIR,GK,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9079df2
Martin Taylor,eng ENG,DF,18,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,08840bbf
Squad Total,,,25.5,38,411,3420,38.0,34,28,62,32,2,4,84,6,0.89,0.74,1.63,0.84,1.58,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
