,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Frank Lampard,eng ENG,MF,20,38,38,3420,38.0,5,3,8,4,1,1,3,0,0.13,0.08,0.21,0.11,0.18,Matches,268df6b1
Shaka Hislop,tt TRI,GK,29,37,37,3300,36.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,7f44f7dd
Trevor Sinclair,eng ENG,MF,25,36,36,3165,35.2,7,5,12,7,0,0,7,0,0.20,0.14,0.34,0.20,0.34,Matches,d2f7373c
Ian Pearce,eng ENG,DF,24,33,33,2962,32.9,2,2,4,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,3537c18f
Rio Ferdinand,eng ENG,DF,19,31,31,2703,30.0,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,52465662
Steve Lomas,nir NIR,MF,24,30,30,2673,29.7,1,2,3,1,0,0,3,1,0.03,0.07,0.10,0.03,0.10,Matches,9e58673a
Eyal Berkovic,il ISR,MF,26,30,28,2321,25.8,3,10,13,3,0,0,3,0,0.12,0.39,0.50,0.12,0.50,Matches,10e485ae
Neil Ruddock,eng ENG,DF,30,27,27,2344,26.0,2,0,2,2,0,0,8,1,0.08,0.00,0.08,0.08,0.08,Matches,8533db00
Ian Wright,eng ENG,FW,34,22,20,1750,19.4,9,3,12,9,0,0,10,1,0.46,0.15,0.62,0.46,0.62,Matches,60c275b3
Marc Keller,fr FRA,FWMF,30,21,17,1491,16.6,5,1,6,5,0,0,3,0,0.30,0.06,0.36,0.30,0.36,Matches,4566f9f2
John Hartson,wls WAL,FW,23,17,16,1444,16.0,4,2,6,,,,3,0,0.25,0.12,0.37,,,Matches,10d28fb8
Scott Minto,eng ENG,DF,26,15,14,1242,13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8cd0120b
Paul Kitson,eng ENG,FW,27,17,13,1199,13.3,3,2,5,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,Matches,86707c0d
Marc-Vivien Foé,cm CMR,MF,23,13,13,1151,12.8,0,1,1,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,Matches,f98e429e
Paolo Di Canio,it ITA,FW,30,13,12,1086,12.1,4,2,6,4,0,0,0,0,0.33,0.17,0.50,0.33,0.50,Matches,9bbe0ecf
Steve Potts,eng ENG,DF,31,19,11,1061,11.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3607a95d
Stan Lazaridis,au AUS,DFMF,25,15,11,1020,11.3,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,5350fc7f
Julian Dicks,eng ENG,DF,29,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,08be0359
John Moncur,eng ENG,MF,31,14,6,697,7.7,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,e982f824
Andy Impey,eng ENG,DFMF,26,8,6,572,6.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,67cbd956
Javier Margas,cl CHI,DF,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3d3254a
Joe Cole,eng ENG,MF,16,8,2,306,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2c2f117b
Samassi Abou,fr FRA,FW,25,3,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,170ea618
Tim Breacker,eng ENG,DF,33,3,2,138,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,298a0444
Craig Forrest,ca CAN,GK,30,2,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b253de9c
Emmanuel Omoyinmi,ng NGA,FW,20,3,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28c84e76
Gavin Holligan,eng ENG,FW,18,1,0,11,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd7a9da6
Chris Coyne,au AUS,DF,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed3bf0af
Lee Hodges,eng ENG,MF,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ea258e4
Squad Total,,,26.2,38,417,3420,38.0,48,32,80,47,1,1,82,4,1.26,0.84,2.11,1.24,2.08,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
