,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Gary Pallister,eng ENG,DF,29,42,42,3780,42.0,2,2,4,2,0,0,0,0,0.05,0.05,0.10,0.05,0.10,Matches,f99beca9
Denis Irwin,ie IRL,DF,28,40,40,3600,40.0,2,4,6,2,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches,9d080c30
Paul Ince,eng ENG,MF,26,36,36,3194,35.5,5,2,7,5,0,0,5,0,0.14,0.06,0.20,0.14,0.20,Matches,3ce58c27
Brian McClair,sct SCO,FWMF,30,40,35,3231,35.9,5,2,7,4,1,1,1,0,0.14,0.06,0.19,0.11,0.17,Matches,85fb3ca5
Steve Bruce,eng ENG,DF,33,35,35,3150,35.0,2,0,2,2,0,0,12,0,0.06,0.00,0.06,0.06,0.06,Matches,535d3678
Mark Hughes,wls WAL,FW,30,34,33,2807,31.2,8,6,14,8,0,0,7,1,0.26,0.19,0.45,0.26,0.45,Matches,b01e9032
Peter Schmeichel,dk DEN,GK,30,32,32,2797,31.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f1fe7ffe
Ryan Giggs,wls WAL,FWMF,20,29,29,2411,26.8,1,11,12,1,0,0,3,0,0.04,0.41,0.45,0.04,0.45,Matches,561de8d0
Lee Sharpe,eng ENG,MF,23,28,26,2253,25.0,3,4,7,3,0,0,7,0,0.12,0.16,0.28,0.12,0.28,Matches,2143398b
Andrei Kanchelskis,ru RUS,DFMF,25,30,25,2245,24.9,14,3,17,14,0,0,0,0,0.56,0.12,0.68,0.56,0.68,Matches,82fa1e78
Roy Keane,ie IRL,MF,22,25,23,2037,22.6,2,4,6,2,0,0,8,0,0.09,0.18,0.27,0.09,0.27,Matches,8f218498
Eric Cantona,fr FRA,FW,28,21,21,1848,20.5,12,6,18,9,3,3,4,1,0.58,0.29,0.88,0.44,0.73,Matches,808b48cd
Andy Cole,eng ENG,FW,22,18,17,1575,17.5,12,2,14,,,,1,0,0.69,0.11,0.80,,,Matches,b6638a2c
Gary Neville,eng ENG,DF,19,18,16,1448,16.1,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,1b013e33
David May,eng ENG,DF,24,19,15,1327,14.7,2,0,2,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,1c719a79
Nicky Butt,eng ENG,DFMF,19,22,11,1031,11.5,1,1,2,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,Matches,616b3f9a
Gary Walsh,eng ENG,GK,26,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82dc3961
Paul Scholes,eng ENG,MF,19,17,6,798,8.9,5,2,7,5,0,0,0,0,0.56,0.23,0.79,0.56,0.79,Matches,24a3a72c
Keith Gillespie,nir NIR,FWMF,19,9,3,375,4.2,1,0,1,,,,2,0,0.24,0.00,0.24,,,Matches,012f440e
Simon Davies,wls WAL,MF,20,5,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1df0cd4b
David Beckham,eng ENG,MF,19,4,2,195,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53539318
Phil Neville,eng ENG,DFMF,17,2,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3db5e0ec
Paul Parker,eng ENG,DF,30,2,1,63,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,90464ad8
Kevin Pilkington,eng ENG,GK,20,1,0,83,0.9,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96ba3590
Squad Total,,,26.8,42,460,3780,42.0,76,58,134,72,4,4,65,3,1.81,1.38,3.19,1.71,3.10,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
