,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Frank Leboeuf,fr FRA,DF,29,32,32,2789,31.0,5,4,9,2,3,3,9,1,0.16,0.13,0.29,0.06,0.19,Matches,a011a07b
Dan Petrescu,ro ROU,DF,29,31,31,2408,26.8,5,4,9,5,0,0,3,0,0.19,0.15,0.34,0.19,0.34,Matches,dc2e7399
Ed de Goey,nl NED,GK,30,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a7b2f65
Roberto Di Matteo,it ITA,MF,27,30,28,2451,27.2,4,5,9,4,0,0,6,0,0.15,0.18,0.33,0.15,0.33,Matches,5b390f82
Dennis Wise,eng ENG,MF,30,26,26,2284,25.4,3,4,7,2,1,1,10,0,0.12,0.16,0.28,0.08,0.24,Matches,e718c23d
Graeme Le Saux,eng ENG,DF,28,26,26,2277,25.3,1,4,5,1,0,0,3,0,0.04,0.16,0.20,0.04,0.20,Matches,0bd42c09
Mark Hughes,wls WAL,FW,33,29,25,2284,25.4,9,3,12,9,0,0,9,0,0.35,0.12,0.47,0.35,0.47,Matches,b01e9032
Michael Duberry,eng ENG,DF,21,23,23,2070,23.0,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,db61b520
Gianfranco Zola,it ITA,FW,31,27,23,1873,20.8,8,5,13,7,1,1,2,0,0.38,0.24,0.62,0.34,0.58,Matches,59883773
Steve Clarke,sct SCO,DF,33,26,22,2010,22.3,1,3,4,1,0,0,2,0,0.04,0.13,0.18,0.04,0.18,Matches,eb327112
Frank Sinclair,jm JAM,DF,25,22,20,1790,19.9,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches,02942593
Eddie Newton,eng ENG,MF,25,18,17,1420,15.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c5e71e43
Tore André Flo,no NOR,FW,24,34,16,1719,19.1,11,2,13,11,0,0,0,0,0.58,0.10,0.68,0.58,0.68,Matches,83e490ef
Gianluca Vialli,it ITA,FW,33,21,14,1290,14.3,11,5,16,11,0,0,4,0,0.77,0.35,1.12,0.77,1.12,Matches,80106692
Gus Poyet,uy URU,MF,29,14,11,1091,12.1,4,2,6,3,1,1,1,0,0.33,0.16,0.49,0.25,0.41,Matches,27cd364d
Andy Myers,eng ENG,DF,23,12,11,974,10.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5b54539
Dmitri Kharine,ru RUS,GK,28,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,48a7d00f
Danny Granville,eng ENG,DF,22,13,9,851,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1ba9184d
Jody Morris,eng ENG,MF,18,12,9,804,8.9,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,c5002fd1
Mark Nicholls,eng ENG,FW,20,19,8,984,10.9,3,1,4,3,0,0,1,0,0.27,0.09,0.37,0.27,0.37,Matches,67025a47
Celestine Babayaro,ng NGA,DFMF,18,8,8,649,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dd4e6b97
Laurent Charvet,fr FRA,DF,24,11,7,715,7.9,2,0,2,2,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches,c317246f
Paul Hughes,eng ENG,MF,21,10,6,422,4.7,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,046e91b4
Bernard Lambourde,fr FRA,DF,26,7,5,422,4.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,595e5d0c
Jon Harley,eng ENG,DF,17,3,3,203,2.3,0,1,1,0,0,,0,0,0.00,0.44,0.44,0.00,0.44,Matches,1c85d7f3
David Lee,eng ENG,DF,27,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,724e2a7d
Ruud Gullit,nl NED,FWMF,34,6,0,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b616ff71
Nick Crittenden,eng ENG,MF,18,2,0,10,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa2498aa
Squad Total,,,27.9,38,416,3420,38.0,67,66,133,61,6,6,66,3,1.76,1.74,3.50,1.61,3.34,,-9999
Opponent Total,,,26.6,38,,3420,38.0,,,,,,,,,,,,,,,-9999
