,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Gary Speed,wls WAL,MF,34,38,37,3340,37.1,1,5,6,1,0,0,1,0,0.03,0.13,0.16,0.03,0.16,Matches,5ca13d11
Bruno N'Gotty,fr FRA,DF,33,37,37,3254,36.2,0,2,2,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,95682207
Jussi Jääskeläinen,fi FIN,GK,29,36,36,3236,36.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,340d2a24
Kevin Davies,eng ENG,FW,27,35,33,2838,31.5,8,2,10,8,0,0,5,0,0.25,0.06,0.32,0.25,0.32,Matches,2f726a89
Ricardo Gardner,jm JAM,DFMF,25,33,30,2677,29.7,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,b6a1eaa0
Jay-Jay Okocha,ng NGA,MF,30,31,29,2423,26.9,6,2,8,2,4,4,2,0,0.22,0.07,0.30,0.07,0.15,Matches,66ceb871
Nicky Hunt,eng ENG,DF,20,29,29,2407,26.7,0,3,3,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,0e9b2f57
Stelios Giannakopoulos,gr GRE,FWMF,30,34,28,2356,26.2,7,4,11,7,0,0,5,0,0.27,0.15,0.42,0.27,0.42,Matches,29a5f7d3
Kevin Nolan,eng ENG,MF,22,36,27,2495,27.7,4,2,6,4,0,0,5,0,0.14,0.07,0.22,0.14,0.22,Matches,3d307105
El Hadji Diouf,sn SEN,FWMF,23,27,23,2043,22.7,9,4,13,8,1,2,7,0,0.40,0.18,0.57,0.35,0.53,Matches,1a4542c8
Radhi Jaïdi,tn TUN,DF,28,27,20,1837,20.4,5,1,6,5,0,0,2,0,0.24,0.05,0.29,0.24,0.29,Matches,8ff60fb9
Iván Campo,es ESP,DFMF,30,27,20,1717,19.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b655e58d
Tal Ben Haim,il ISR,DF,22,21,19,1753,19.5,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,2277a390
Fernando Hierro,es ESP,DFMF,36,29,15,1424,15.8,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,2f926dd0
Henrik Pedersen,dk DEN,FW,29,27,13,1353,15.0,6,1,7,6,0,0,0,0,0.40,0.07,0.47,0.40,0.47,Matches,8ef377c5
Vincent Candela,fr FRA,DFMF,30,10,9,780,8.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,489d2628
Anthony Barness,eng ENG,DF,31,8,5,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f2e31a8
Júlio César,br BRA,DF,25,5,4,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,754ac76b
Les Ferdinand,eng ENG,FW,37,12,1,258,2.9,1,1,2,1,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matches,aad47f5a
Ricardo Vaz Tê,pt POR,FWMF,17,7,1,193,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,238aa706
Kevin Poole,eng ENG,GK,41,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2143ffd
Andy Oakes,eng ENG,GK,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7df5c540
Khalilou Fadiga,sn SEN,MF,29,5,0,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0946c6b7
Blessing Kaku,ng NGA,MF,26,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72ced492
Joey O'Brien,ie IRL,DFMF,18,1,0,9,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce46f501
Squad Total,,,28.6,38,418,3420,38.0,49,33,82,44,5,6,54,2,1.29,0.87,2.16,1.16,2.03,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
