,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Jussi Jääskeläinen,fi FIN,GK,28,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,340d2a24
Kevin Davies,eng ENG,FW,26,38,38,3307,36.7,9,9,18,9,0,0,9,0,0.24,0.24,0.49,0.24,0.49,Matches,2f726a89
Iván Campo,es ESP,DFMF,29,38,37,3204,35.6,4,1,5,4,0,0,9,0,0.11,0.03,0.14,0.11,0.14,Matches,b655e58d
Kevin Nolan,eng ENG,MF,21,37,37,3105,34.5,9,1,10,9,0,0,8,0,0.26,0.03,0.29,0.26,0.29,Matches,3d307105
Jay-Jay Okocha,ng NGA,MF,29,35,33,2967,33.0,0,4,4,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,66ceb871
Bruno N'Gotty,fr FRA,DF,32,33,32,2886,32.1,3,1,4,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,Matches,95682207
Nicky Hunt,eng ENG,DF,19,31,28,2564,28.5,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Matches,0e9b2f57
Simon Charlton,eng ENG,DF,31,31,28,2470,27.4,0,2,2,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,d52b42c9
Emerson Thome,br BRA,DF,31,26,25,2259,25.1,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,7dc1b3c9
Youri Djorkaeff,fr FRA,FWMF,35,27,24,2050,22.8,8,3,11,7,1,1,1,0,0.35,0.13,0.48,0.31,0.44,Matches,e9f1bedd
Per Frandsen,dk DEN,MF,33,33,22,1916,21.3,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,4df04be7
Ricardo Gardner,jm JAM,DFMF,24,22,20,1778,19.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,b6a1eaa0
Henrik Pedersen,dk DEN,FW,28,33,19,1745,19.4,7,0,7,7,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,8ef377c5
Stelios Giannakopoulos,gr GRE,FWMF,29,31,17,1564,17.4,2,3,5,2,0,0,4,0,0.12,0.17,0.29,0.12,0.29,Matches,29a5f7d3
Anthony Barness,eng ENG,DF,30,15,11,984,10.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f2e31a8
Florent Laville,fr FRA,DF,29,5,5,388,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,49909716
Steve Howey,eng ENG,DF,31,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1dd78cb
Javi Moreno,es ESP,FW,28,8,1,230,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64497d05
Jon Otsemobor,eng ENG,DF,20,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ced37b6
Ibrahim Ba,fr FRA,MF,29,9,0,245,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,509ff2ca
Mário Jardel,br BRA,FW,29,7,0,156,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,53073691
Glen Little,eng ENG,MF,27,4,0,29,0.3,0,1,1,0,0,0,0,0,0.00,3.10,3.10,0.00,3.10,Matches,3c418660
Ricardo Vaz Tê,pt POR,FWMF,16,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,238aa706
Delroy Facey,gd GRN,FW,23,1,0,14,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3966915f
Squad Total,,,28.5,38,433,3420,38.0,47,35,82,46,1,1,66,0,1.24,0.92,2.16,1.21,2.13,,-9999
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,,-9999
