,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mark Schwarzer,au AUS,GK,30,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da409c6f
George Boateng,nl NED,MF,27,35,35,3121,34.7,0,2,2,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,a44a9f65
Boudewijn Zenden,nl NED,DFFW,26,31,31,2734,30.4,4,4,8,4,0,0,5,1,0.13,0.13,0.26,0.13,0.26,Matches,4e27a622
Franck Queudrue,fr FRA,DF,24,31,31,2695,29.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,4b7d3170
Gaizka Mendieta,es ESP,MF,29,31,30,2661,29.6,2,4,6,2,0,0,3,0,0.07,0.14,0.20,0.07,0.20,Matches,c5589415
Danny Mills,eng ENG,DF,26,28,28,2501,27.8,0,1,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,Matches,240e4301
Gareth Southgate,eng ENG,DF,32,27,27,2430,27.0,1,2,3,1,0,0,1,0,0.04,0.07,0.11,0.04,0.11,Matches,a29c3ed6
Juninho Paulista,br BRA,MF,30,31,26,2293,25.5,8,2,10,8,0,0,2,0,0.31,0.08,0.39,0.31,0.39,Matches,093373a5
Joseph-Désiré Job,cm CMR,FWMF,25,24,19,1579,17.5,6,3,9,6,0,1,1,0,0.34,0.17,0.51,0.34,0.51,Matches,8208d253
Doriva,br BRA,MF,31,21,19,1533,17.0,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches,6b8ab05e
Szilárd Németh,sk SVK,FW,25,32,17,1617,18.0,9,2,11,9,0,0,2,0,0.50,0.11,0.61,0.50,0.61,Matches,74da02b4
Jonathan Greening,eng ENG,MF,24,25,17,1603,17.8,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,892c1d7a
Colin Cooper,eng ENG,DF,36,19,17,1439,16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,42f93b8f
Ugo Ehiogu,eng ENG,DF,30,16,16,1395,15.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,bd8d3cd5
Chris Riggott,eng ENG,DF,22,17,14,1273,14.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6ec07df6
Massimo Maccarone,it ITA,FW,23,23,13,1223,13.6,6,2,8,5,1,1,2,0,0.44,0.15,0.59,0.37,0.52,Matches,1586379d
Stuart Parnaby,eng ENG,DF,21,13,8,813,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,389cc3d7
Andrew Davies,eng ENG,DF,18,10,8,721,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8912dc31
Michael Ricketts,eng ENG,FW,24,23,7,778,8.6,2,1,3,0,2,2,2,0,0.23,0.12,0.35,0.00,0.12,Matches,3099ed37
Stewart Downing,eng ENG,FWMF,19,20,7,775,8.6,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,b13c4620
Malcolm Christie,eng ENG,FW,24,10,7,664,7.4,1,1,2,1,0,1,1,0,0.14,0.14,0.27,0.14,0.27,Matches,6f5273d9
Alan Wright,eng ENG,DF,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df6cf3fe
Brad Jones,au AUS,GK,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffc1c226
Carlo Nash,eng ENG,GK,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd9670b3
Carlos Marinelli,ar ARG,MF,21,1,1,55,0.6,1,0,1,1,0,0,0,0,1.64,0.00,1.64,1.64,1.64,Matches,3a81b990
Robbie Stockdale,sct SCO,DF,23,2,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d0a8842
James Morrison,sct SCO,FWMF,17,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21a66e33
Squad Total,,,27.6,38,418,3420,38.0,42,28,70,39,3,5,59,1,1.11,0.74,1.84,1.03,1.76,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
