,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mikaël Silvestre,fr FRA,DF,25,34,33,2848,31.6,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,4dde97ea
Tim Howard,us USA,GK,24,32,32,2880,32.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,c444465e
John O'Shea,ie IRL,DFMF,22,33,32,2817,31.3,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,7c1f4685
Ruud van Nistelrooy,nl NED,FW,27,32,31,2753,30.6,20,2,22,19,1,4,4,0,0.65,0.07,0.72,0.62,0.69,Matches,80a30989
Gary Neville,eng ENG,DF,28,30,30,2689,29.9,2,3,5,2,0,0,4,0,0.07,0.10,0.17,0.07,0.17,Matches,1b013e33
Ryan Giggs,wls WAL,FWMF,29,33,29,2536,28.2,7,11,18,7,0,0,3,0,0.25,0.39,0.64,0.25,0.64,Matches,561de8d0
Phil Neville,eng ENG,DFMF,26,31,29,2504,27.8,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,3db5e0ec
Roy Keane,ie IRL,MF,31,28,25,2196,24.4,3,3,6,3,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches,8f218498
Paul Scholes,eng ENG,MF,28,28,24,2187,24.3,9,3,12,9,0,0,5,0,0.37,0.12,0.49,0.37,0.49,Matches,24a3a72c
Rio Ferdinand,eng ENG,DF,24,20,20,1760,19.6,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,52465662
Quinton Fortune,za RSA,MF,26,23,18,1618,18.0,0,2,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,fa706d7f
Darren Fletcher,sct SCO,MF,19,22,17,1454,16.2,0,1,1,0,0,0,4,2,0.00,0.06,0.06,0.00,0.06,Matches,184e4970
Cristiano Ronaldo,pt POR,FWMF,18,29,15,1555,17.3,4,4,8,4,0,0,5,1,0.23,0.23,0.46,0.23,0.46,Matches,dea698d9
Wes Brown,eng ENG,DF,23,17,15,1411,15.7,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,659ccc97
Nicky Butt,eng ENG,DFMF,28,21,12,1106,12.3,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,616b3f9a
Diego Forlán,uy URU,FWMF,24,24,10,1069,11.9,4,4,8,4,0,0,2,0,0.34,0.34,0.67,0.34,0.67,Matches,d87d0dfc
Eric Djemba-Djemba,cm CMR,MF,22,15,10,882,9.8,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,f7c35434
José Kléberson,br BRA,MF,24,12,10,791,8.8,2,3,5,2,0,0,1,0,0.23,0.34,0.57,0.23,0.57,Matches,b05f5f22
Louis Saha,fr FRA,FW,24,12,9,862,9.6,7,2,9,,,,0,0,0.73,0.21,0.94,,,Matches,7106e4fe
Ole Gunnar Solskjær,no NOR,FW,30,13,7,652,7.2,0,2,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches,65cb97b8
Roy Carroll,nir NIR,GK,25,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e880937
David Bellion,fr FRA,FW,20,14,4,457,5.1,2,1,3,2,0,0,0,0,0.39,0.20,0.59,0.39,0.59,Matches,a901d685
Squad Total,,,25.8,38,418,3420,38.0,63,54,117,62,1,4,46,3,1.66,1.42,3.08,1.63,3.05,,-9999
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,,-9999
