,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Paul Telfer,sct SCO,DFMF,31,37,33,3040,33.8,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,7b3990c5
James Beattie,eng ENG,FW,25,37,32,2965,32.9,14,6,20,12,2,2,3,0,0.42,0.18,0.61,0.36,0.55,Matches,7c881089
Claus Lundekvam,no NOR,DF,30,31,31,2512,27.9,1,2,3,1,0,0,2,0,0.04,0.07,0.11,0.04,0.11,Matches,22de8419
Kevin Phillips,eng ENG,FW,30,34,28,2594,28.8,13,3,16,13,0,0,2,1,0.45,0.10,0.56,0.45,0.56,Matches,23d97ca1
Antti Niemi,fi FIN,GK,31,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,79c3c101
Jason Dodd,eng ENG,DF,32,28,27,2372,26.4,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15,Matches,df15c7a1
Michael Svensson,se SWE,DF,27,26,26,2336,26.0,2,1,3,2,0,0,8,1,0.08,0.04,0.12,0.08,0.12,Matches,123a0e8f
Rory Delap,ie IRL,MF,27,27,26,2180,24.2,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches,9b0dac73
Danny Higginbotham,gi GIB,DF,24,27,24,2291,25.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,688135a1
David Prutton,eng ENG,MF,21,26,21,1960,21.8,1,2,3,1,0,0,4,1,0.05,0.09,0.14,0.05,0.14,Matches,7123fdc0
Fabrice Fernandes,fr FRA,MF,23,27,21,1743,19.4,1,2,3,1,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches,9838d388
Graeme Le Saux,eng ENG,DF,34,19,19,1562,17.4,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,0bd42c09
Anders Svensson,se SWE,MF,27,30,17,1523,16.9,0,2,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches,2c29fd2a
Brett Ormerod,eng ENG,FW,26,22,14,1202,13.4,5,0,5,5,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,fde1ce8d
Chris Marsden,eng ENG,MF,34,13,9,856,9.5,0,1,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,c1f59bed
Yoann Folly,tg TOG,MF,18,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8dfe153d
Neil McCann,sct SCO,MF,28,18,9,798,8.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,01ba4d73
Paul Jones,wls WAL,GK,36,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bf1ce9d
Fitz Hall,eng ENG,DFFW,22,11,7,750,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f799f31c
Matt Oakley,eng ENG,MF,25,7,7,630,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,79974582
Marians Pahars,lv LVA,FWMF,26,14,6,584,6.5,2,1,3,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,Matches,bc95c25d
Stephen Crainey,sct SCO,DF,22,5,5,440,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,2f6dd6a3
Darren Kenton,eng ENG,DF,24,7,3,363,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93040d46
Alan Blayney,nir NIR,GK,21,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16c7a4a9
Léandre Griffit,fr FRA,FWMF,19,5,2,149,1.7,2,0,2,2,0,0,0,0,1.21,0.00,1.21,1.21,1.21,Matches,cecd7a6a
Chris Baird,nir NIR,DFMF,21,4,1,192,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,55fd8c81
Jo Tessem,no NOR,MF,31,3,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32290355
Agustín Delgado,ec ECU,FW,28,4,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8d08004
Squad Total,,,28.1,38,403,3420,38.0,43,27,70,41,2,2,54,3,1.13,0.71,1.84,1.08,1.79,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
