,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Ian Walker,eng ENG,GK,29,35,35,3084,34.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78a90cec
Robbie Savage,wls WAL,MF,26,35,35,3083,34.3,0,2,2,0,0,0,14,0,0.00,0.06,0.06,0.00,0.06,Matches,f60a24de
Frank Sinclair,jm JAM,DF,29,35,33,2893,32.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,02942593
Matt Elliott,sct SCO,DF,32,31,31,2771,30.8,0,2,2,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,c1033941
Lee Marshall,eng ENG,DFMF,22,35,29,2836,31.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,40416d99
Muzzy Izzet,tr TUR,MF,26,31,29,2565,28.5,4,1,5,2,2,4,11,1,0.14,0.04,0.18,0.07,0.11,Matches,aeeddfc4
Callum Davidson,sct SCO,DF,25,30,29,2420,26.9,0,3,3,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches,6bcf5daf
James Scowcroft,eng ENG,FW,25,24,21,1775,19.7,5,2,7,5,0,0,3,0,0.25,0.10,0.35,0.25,0.35,Matches,91aafa3c
Andy Impey,eng ENG,DFMF,29,27,20,1839,20.4,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,67cbd956
Stefan Oakes,eng ENG,MF,22,21,16,1499,16.7,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,Matches,7827fda9
Ade Akinbiyi,ng NGA,FW,26,21,16,1451,16.1,2,1,3,2,0,0,3,0,0.12,0.06,0.19,0.12,0.19,Matches,6a723914
Dennis Wise,eng ENG,MF,34,17,15,1337,14.9,1,0,1,1,0,0,6,1,0.07,0.00,0.07,0.07,0.07,Matches,e718c23d
Matt Piper,eng ENG,MF,19,16,14,1320,14.7,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,86973a1d
Brian Deane,eng ENG,FW,33,15,13,1182,13.1,6,1,7,6,0,0,2,0,0.46,0.08,0.53,0.46,0.53,Matches,909a4bb4
Paul Dickov,sct SCO,FW,28,12,11,959,10.7,4,1,5,4,0,0,5,0,0.38,0.09,0.47,0.38,0.47,Matches,1ea43e27
Jacob Laursen,dk DEN,DF,29,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a976b649
Gary Rowett,eng ENG,DF,27,11,9,822,9.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,92c33b52
Jordan Stewart,eng ENG,DFMF,19,12,9,762,8.5,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,99bd8581
Dean Sturridge,eng ENG,FW,28,9,8,566,6.3,3,0,3,3,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,70e13fa1
Alan Rogers,eng ENG,DF,24,11,7,677,7.5,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,1d6ebd23
Matt Jones,wls WAL,MF,20,10,6,562,6.2,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,6a025e0a
Trevor Benjamin,jm JAM,FW,22,11,4,474,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c5328061
Junior Lewis,eng ENG,MF,27,6,4,472,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c9122221
Jon Ashton,eng ENG,DF,18,7,3,344,3.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,149041a4
Tim Flowers,eng ENG,GK,34,4,3,336,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df3b6e40
Damien Delaney,ie IRL,DF,20,3,2,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,210d9ecb
Matt Heath,eng ENG,DF,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b4899eb
Martin Reeves,eng ENG,MF,19,5,1,125,1.4,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,57c4e6a2
Jon Stevenson,eng ENG,FW,18,6,0,121,1.3,1,0,1,1,0,,0,0,0.74,0.00,0.74,0.74,0.74,Matches,c6d584a2
Arnar Gunnlaugsson,is ISL,FWMF,28,2,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a06ea31
Gerry Taggart,nir NIR,DF,30,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bf06765
Tommy Wright,eng ENG,FW,16,1,0,5,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f17da156
Tom Williamson,eng ENG,MF,16,1,0,1,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d20f5b9d
Squad Total,,,27.2,38,415,3420,38.0,29,21,50,27,2,4,76,3,0.76,0.55,1.32,0.71,1.26,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
