,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Ian Walker,eng ENG,GK,23,38,38,3420,38.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,78a90cec
Teddy Sheringham,eng ENG,FW,29,38,38,3416,38.0,16,8,24,14,2,2,2,0,0.42,0.21,0.63,0.37,0.58,Matches,4e56eef6
Chris Armstrong,eng ENG,FW,24,36,36,3240,36.0,15,6,21,15,0,0,5,0,0.42,0.17,0.58,0.42,0.58,Matches,effa559a
Gary Mabbutt,eng ENG,DFMF,33,32,32,2840,31.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,be519c25
Sol Campbell,eng ENG,DFFW,20,31,31,2624,29.2,1,2,3,1,0,0,2,0,0.03,0.07,0.10,0.03,0.10,Matches,3e3b2fbd
David Howells,eng ENG,MF,27,29,29,2505,27.8,3,1,4,3,0,0,6,0,0.11,0.04,0.14,0.11,0.14,Matches,cc7c360e
Dean Austin,eng ENG,DF,25,28,28,2520,28.0,0,2,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matches,c7b38bf3
Clive Wilson,eng ENG,DF,33,28,28,2520,28.0,0,4,4,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,de2ad53e
Ronny Rosenthal,il ISR,FWMF,31,33,26,2368,26.3,1,2,3,1,0,0,2,0,0.04,0.08,0.11,0.04,0.11,Matches,e69665a8
Ruel Fox,ms MSR,MF,27,26,26,2307,25.6,6,6,12,,,,1,0,0.23,0.23,0.47,,,Matches,ec357eb1
Colin Calderwood,sct SCO,DF,30,29,26,2275,25.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2903aa4a
Jason Dozzell,eng ENG,MF,27,28,24,2196,24.4,3,0,3,3,0,0,7,0,0.12,0.00,0.12,0.12,0.12,Matches,a2b23551
Justin Edinburgh,eng ENG,DF,25,22,15,1450,16.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,17743284
Stuart Nethercott,eng ENG,DF,22,13,10,930,10.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b5341532
Andy Sinton,eng ENG,MF,29,9,8,701,7.8,0,1,1,,,,1,0,0.00,0.13,0.13,,,Matches,d74cafe4
Gerry McMahon,nir NIR,MF,21,14,7,615,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ba295ee
Darren Anderton,eng ENG,MF,23,8,6,549,6.1,2,1,3,2,0,0,0,0,0.33,0.16,0.49,0.33,0.49,Matches,09cebe50
Ilie Dumitrescu,ro ROU,FWMF,26,5,5,439,4.9,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches,c49a32f4
Darren Caskey,eng ENG,MF,20,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c88203e1
David Kerslake,eng ENG,DF,29,2,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,424b986c
Steve Slade,eng ENG,FW,19,5,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,43731318
Kevin Scott,eng ENG,DF,28,2,0,78,0.9,0,1,1,0,0,0,0,0,0.00,1.15,1.15,0.00,1.15,Matches,ba0facbd
Jason Cundy,eng ENG,DF,25,1,0,71,0.8,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2ef93bb4
Squad Total,,,27.4,38,424,3420,38.0,47,38,85,45,2,2,53,0,1.24,1.00,2.24,1.18,2.18,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
