,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
David James,eng ENG,GK,24,38,38,3420,38.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,86841dfb
Steve McManaman,eng ENG,MF,23,38,38,3408,37.9,6,15,21,6,0,0,1,0,0.16,0.40,0.55,0.16,0.55,Matches,9be05f40
Robbie Fowler,eng ENG,FW,20,38,36,3274,36.4,28,5,33,27,1,1,3,0,0.77,0.14,0.91,0.74,0.88,Matches,7cd34266
John Barnes,eng ENG,DFFW,31,36,36,3173,35.3,3,10,13,3,0,0,0,0,0.09,0.28,0.37,0.09,0.37,Matches,e654196b
Rob Jones,eng ENG,DF,23,33,33,2868,31.9,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,cd6a211c
Stan Collymore,eng ENG,FW,24,31,30,2567,28.5,14,11,25,14,0,0,2,0,0.49,0.39,0.88,0.49,0.88,Matches,eed4ff30
Phil Babb,ie IRL,DF,24,28,28,2502,27.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,37af386a
Mark Wright,eng ENG,DF,31,28,28,2416,26.8,2,1,3,2,0,0,7,0,0.07,0.04,0.11,0.07,0.11,Matches,9995820e
Jason McAteer,ie IRL,MF,24,29,27,2445,27.2,0,3,3,,,,4,0,0.00,0.11,0.11,,,Matches,8a09067c
John Scales,eng ENG,DF,29,27,27,2404,26.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1c67bd76
Steve Harkness,eng ENG,DF,23,24,23,2030,22.6,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,e4fa02d3
Jamie Redknapp,eng ENG,MF,22,23,19,1757,19.5,3,3,6,,,,0,0,0.15,0.15,0.31,,,Matches,c337443d
Michael Thomas,eng ENG,MF,27,27,18,1748,19.4,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,68de2664
Neil Ruddock,eng ENG,DF,27,20,18,1681,18.7,5,0,5,5,0,0,8,0,0.27,0.00,0.27,0.27,0.27,Matches,8533db00
Ian Rush,wls WAL,FW,33,20,10,1025,11.4,5,2,7,5,0,0,0,0,0.44,0.18,0.61,0.44,0.61,Matches,2a942638
Dominic Matteo,sct SCO,DFMF,21,5,5,421,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6ea8457
Stig Inge Bjørnebye,no NOR,DF,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8e08ea6
Mark Kennedy,ie IRL,DFMF,19,4,1,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f91768b
Nigel Clough,eng ENG,FWMF,29,2,1,115,1.3,0,0,0,,,,1,0,0.00,0.00,0.00,,,Matches,3cd439de
Squad Total,,,25.8,38,421,3420,38.0,68,54,122,67,1,1,37,0,1.79,1.42,3.21,1.76,3.18,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
